Time,Level,Mode,NewRate,Rate,Output
48,0.6,0.3,0.23923444976077,0.045454545454546,0.23923444976077
57,0.6,0.3,0.142344497607658,0.23923444976077,0.107438016528926
33,0.6,0.3,0.173336233144848,0.107438016528926,0.181818181818182
24,0.6,0.3,0.144628099173554,0.181818181818182,0.113636363636364
32,0.6,0.3,0.147727272727273,0.113636363636364,0.636363636363636
9,0.6,0.3,0.375,0.636363636363636,0.142857142857143
28,0.6,0.3,0.38961038961039,0.142857142857143,0.206611570247934
22,0.6,0.3,0.174734356552539,0.206611570247934,0.20030816640986
59,0.6,0.3,0.203459868328897,0.20030816640986,0.64935064935065
42,0.6,0.3,0.424829407880255,0.64935064935065,0.727272727272727
8,0.6,0.3,0.688311688311689,0.727272727272727,0.206611570247934
22,0.6,0.3,0.466942148760331,0.206611570247934,0.120234604105572
31,0.6,0.3,0.163423087176753,0.120234604105572,0.25974025974026
56,0.6,0.3,0.189987431922916,0.25974025974026,0.318181818181818
16,0.6,0.3,0.288961038961039,0.318181818181818,0.272727272727273
18,0.6,0.3,0.295454545454546,0.272727272727273,0.3030303030303
54,0.6,0.3,0.287878787878787,0.3030303030303,0.454545454545454
12,0.6,0.3,0.378787878787877,0.454545454545454,0.142857142857143
28,0.6,0.3,0.298701298701299,0.142857142857143,0.127272727272727
30,0.6,0.3,0.135064935064935,0.127272727272727,0.454545454545454
12,0.6,0.3,0.29090909090909,0.454545454545454,0.34965034965035
52,0.6,0.3,0.402097902097902,0.34965034965035,0.170909090909091
25,0.6,0.3,0.26027972027972,0.170909090909091,0.236363636363636
20,0.6,0.3,0.203636363636363,0.236363636363636,0.127272727272727
30,0.6,0.3,0.181818181818182,0.127272727272727,0.4
50,0.6,0.3,0.263636363636363,0.4,0.4
50,0.6,0.3,0.4,0.4,0.101604278074866
34,0.6,0.3,0.250802139037433,0.101604278074866,0.134796238244514
29,0.6,0.3,0.11820025815969,0.134796238244514,0.72727272727273
40,0.6,0.3,0.431034482758622,0.72727272727273,0.113636363636364
32,0.6,0.3,0.420454545454547,0.113636363636364,0.72727272727273
40,0.6,0.3,0.420454545454547,0.72727272727273,0.113636363636364
32,0.6,0.3,0.420454545454547,0.113636363636364,0.37433155080214
51,0.6,0.3,0.243983957219252,0.37433155080214,0.142857142857143
28,0.6,0.3,0.258594346829641,0.142857142857143,0.107438016528926
33,0.6,0.3,0.125147579693035,0.107438016528926,0.90909090909091
36,0.6,0.3,0.508264462809918,0.90909090909091,0.160839160839161
26,0.6,0.3,0.534965034965035,0.160839160839161,0.120234604105572
31,0.6,0.3,0.140536882472367,0.120234604105572,0.151515151515152
27,0.6,0.3,0.135874877810362,0.151515151515152,0.170909090909091
25,0.6,0.3,0.161212121212122,0.170909090909091,0.8133971291866
38,0.6,0.3,0.492153110047846,0.8133971291866,0.120234604105572
31,0.6,0.3,0.466815866646086,0.120234604105572,0.113636363636364
32,0.6,0.3,0.116935483870968,0.113636363636364,0.376623376623377
14,0.6,0.3,0.245129870129871,0.376623376623377,0.253588516746411
19,0.6,0.3,0.315105946684894,0.253588516746411,0.253588516746411
19,0.6,0.3,0.253588516746411,0.253588516746411,0.32590051457976
53,0.6,0.3,0.289744515663085,0.32590051457976,0.48355899419729
47,0.6,0.3,0.404729754388525,0.48355899419729,0.4
50,0.6,0.3,0.441779497098645,0.4,0.61310782241015
43,0.6,0.3,0.506553911205075,0.61310782241015,0.68736141906874
41,0.6,0.3,0.650234620739445,0.68736141906874,0.253588516746411
19,0.6,0.3,0.470474967907576,0.253588516746411,0.253588516746411
19,0.6,0.3,0.253588516746411,0.253588516746411,0.68736141906874
41,0.6,0.3,0.470474967907576,0.68736141906874,0.181818181818182
24,0.6,0.3,0.434589800443461,0.181818181818182,0.61310782241015
43,0.6,0.3,0.397463002114166,0.61310782241015,0.151515151515152
27,0.6,0.3,0.382311486962651,0.151515151515152,0.85995085995086
37,0.6,0.3,0.505733005733006,0.85995085995086,0.54545454545455
45,0.6,0.3,0.702702702702705,0.54545454545455,0.76923076923077
39,0.6,0.3,0.65734265734266,0.76923076923077,0.72727272727273
