Index,Question,Option1,Option2,Option3,Option4,Answer
1, Forced distribution and ranking are considered as methods of,comparative methods,narrative methods,behavioral methods,category rating methods,A
2, Graphic rating scale and checklist are classified as method of,behavioral methods,category rating methods,comparative methods,narrative methods,B
3, Performance appraisal methods which consists of management by objectives approach and behavioral rating approach are considered as,behavioral methods,objective methods,subjective methods,both A and B,D
4, Performance appraisal measurement method by which the behavior of employees are assessed instead of all other characteristics is classified as,behavioral rating approach,management by objectives,combination method,critical incident method,A
5, Procedural method which describes the goals to individual employees and manager try to attain the goals within specified length of time is classified as,combination method,critical incident method,behavioral rating approach,management by objectives,D
6, Outcomes of competency based system such as improved and higher employee satisfaction and commitment are classified as,quartile strategy based outcome,organization-related outcomes,employee-related outcomes,percentiles strategy outcomes,C
7," Psychological testing, performance appraisals and the assessment centers are methods used to assess",development needs,staffing needs,tactile learning,massed learning,A
8," Testing techniques which furnish the information about interpersonal traits, job preferences and leadership style are classified as",assessment centers,succession appraisals,psychological testing,performance appraisals,A
9, Collection of all the exercises and instrument that are used to identify individual needs for development is classified as,psychological testing,performance appraisals,assessment centers,both A and C,C
10, Basic compensations given to employees as salaries or wages are called,base pay,wages,variable pay,salaries,A
11, Payments made to employees for the amount of time in which the employee has worked are classified as,variable pay,salaries,base pay,wages,D
12, Compensation given with the base pay linked to individual team or organizational performance is classified as,variable pay,salaries,base pay,wages,A
13, Payments made to employees without taking hours for which they worked into consideration are called,base pay,wages,variable pay,salaries,D
14,Ability to perform exceptionally well and increase the stock of targeted resources within the firm is called ___________. ,productivity ,efficient ,effective ,competency ,D
15,"To calculate the need for manpower on the basis of the average loss of manpower due to leave, retirement, death, transfer, discharge, etc. is known as____________. ",work load analysis ,workforce analysis ,job analysis ,forecasting ,B
