Time,Level,Mode,NewRate,Rate,Output
23,0.3,0.3,,0.193675889328063,
35,0.3,0.3,,0.096103896103896,
28,0.3,0.3,,0.142857142857143,
27,0.3,0.3,,0.151515151515152,
42,0.3,0.3,,0.064935064935065,
46,0.3,0.3,,0.051383399209486,
42,0.3,0.3,,0.064935064935065,
32,0.3,0.3,,0.113636363636364,
29,0.3,0.3,,0.134796238244514,
51,0.3,0.3,,0.037433155080214,
58,0.3,0.3,,0.021943573667712,
48,0.3,0.3,,0.045454545454546,
33,0.3,0.3,,0.107438016528926,
50,0.3,0.3,,0.04,
72,0.3,0.3,,0,
25,0.3,0.3,,0.170909090909091,
53,0.3,0.3,,0.032590051457976,
18,0.3,0.3,,0.272727272727273,
22,0.3,0.3,,0.206611570247934,
68,0.3,0.3,,0.005347593582888,
16,0.3,0.3,,0.318181818181818,
25,0.3,0.3,,0.170909090909091,
9,0.3,0.3,,0.636363636363636,
41,0.3,0.3,,0.068736141906874,
14,0.3,0.3,,0.376623376623377,
25,0.3,0.3,,0.170909090909091,
40,0.3,0.3,,0.072727272727273,
31,0.3,0.3,,0.120234604105572,
69,0.3,0.3,,0.00395256916996,
33,0.3,0.3,,0.107438016528926,
28,0.3,0.3,,0.142857142857143,
45,0.3,0.3,,0.054545454545455,
29,0.3,0.3,,0.134796238244514,
29,0.3,0.3,,0.134796238244514,
19,0.3,0.3,,0.253588516746411,
34,0.3,0.3,,0.101604278074866,
45,0.3,0.3,,0.054545454545455,
21,0.3,0.3,,0.220779220779221,
28,0.3,0.3,,0.142857142857143,
19,0.3,0.3,,0.253588516746411,
19,0.3,0.3,,0.253588516746411,
47,0.3,0.3,,0.048355899419729,
8,0.3,0.3,,0.727272727272727,
7,0.3,0.3,,0.844155844155844,
7,0.3,0.3,,0.844155844155844,
36,0.3,0.3,,0.090909090909091,
46,0.3,0.3,,0.051383399209486,
10,0.3,0.3,,0.563636363636364,
49,0.3,0.3,,0.042671614100186,
49,0.3,0.3,,0.042671614100186,
28,0.3,0.3,,0.142857142857143,
34,0.3,0.3,,0.101604278074866,
23,0.3,0.3,,0.193675889328063,
48,0.3,0.3,,0.045454545454546,
37,0.3,0.3,,0.085995085995086,
35,0.3,0.3,,0.096103896103896,
22,0.3,0.3,,0.206611570247934,
27,0.3,0.3,,0.151515151515152,
64,0.3,0.3,,0.011363636363636,
31,0.3,0.3,,0.120234604105572,
48,0.3,0.3,,0.045454545454546,
11,0.3,0.3,,0.504132231404959,
39,0.3,0.3,,0.076923076923077,
59,0.3,0.3,,0.020030816640986,
42,0.3,0.3,,0.064935064935065,
40,0.3,0.3,,0.072727272727273,
27,0.3,0.3,,0.151515151515152,
43,0.3,0.3,,0.061310782241015,
53,0.3,0.3,,0.032590051457976,
39,0.3,0.3,,0.076923076923077,
41,0.3,0.3,,0.068736141906874,
34,0.3,0.3,,0.101604278074866,
38,0.3,0.3,,0.08133971291866,
69,0.3,0.3,,0.00395256916996,
18,0.3,0.3,,0.272727272727273,
32,0.3,0.3,,0.113636363636364,
11,0.3,0.3,,0.504132231404959,
49,0.3,0.3,,0.042671614100186,
20,0.3,0.3,,0.236363636363636,
38,0.3,0.3,,0.08133971291866,
18,0.3,0.3,,0.272727272727273,
55,0.3,0.3,,0.028099173553719,
51,0.3,0.3,,0.037433155080214,
37,0.3,0.3,,0.085995085995086,
34,0.3,0.3,,0.101604278074866,
33,0.3,0.3,,0.107438016528926,
29,0.3,0.3,,0.134796238244514,
48,0.3,0.3,,0.045454545454546,
24,0.3,0.3,,0.181818181818182,
21,0.3,0.3,,0.220779220779221,
22,0.3,0.3,,0.206611570247934,
